""	"State_or_Territory"	"Governor"	"Party"	"Inauguration"	"End_Term"	"Primary_Handle"	"Secondary_Handle"	"Primary_Handle_id"	"Secondary_Handle_id"
0	"Alabama"	"Kay Ivey"	"Republican"	"10-Apr-17"	"2023"	"GovernorKayIvey"	""	"19668491"	""
1	"Alaska"	"Mike Dunleavy"	"Republican"	"3-Dec-18"	"2022"	"GovDunleavy"	""	"1060655470178787328"	""
2	"Arizona"	"Doug Ducey"	"Republican"	"5-Jan-15"	"2023"	"dougducey"	""	"20217019"	""
3	"Arkansas"	"Asa Hutchinson"	"Republican"	"13-Jan-15"	"2023"	"AsaHutchinson"	""	"269992801"	""
4	"California"	"Gavin Newsom"	"Democratic"	"7-Jan-19"	"2023"	"GavinNewsom"	""	"11347122"	""
5	"Colorado"	"Jared Polis"	"Democratic"	"8-Jan-19"	"2023"	"GovofCO"	"jaredpolis"	"728344273620344832"	"15361570"
6	"Connecticut"	"Ned Lamont"	"Democratic"	"9-Jan-19"	"2023"	"GovNedLamont"	""	"1076293903723233280"	""
7	"Delaware"	"John Carney"	"Democratic"	"17-Jan-17"	"2025"	"JohnCarneyDE"	""	"237770636"	""
8	"Florida"	"Ron DeSantis"	"Republican"	"8-Jan-19"	"2023"	"GovRonDeSantis"	"RonDeSantisFL"	"1058807868"	"487297085"
9	"Georgia"	"Brian Kemp"	"Republican"	"14-Jan-19"	"2023"	"GovKemp"	"BrianKempGA"	"1064659902071808000"	"47437206"
10	"Hawaii"	"David Ige"	"Democratic"	"1-Dec-14"	"2022"	"GovHawaii"	"teamdavidige"	"2916915026"	"1582642838"
11	"Idaho"	"Brad Little"	"Republican"	"7-Jan-19"	"2023"	"GovernorLittle"	""	"41266395"	""
12	"Illinois"	"J. B. Pritzker"	"Democratic"	"14-Jan-19"	"2023"	"GovPritzker"	"JBPritzker"	"1084817523378454529"	"45550693"
13	"Indiana"	"Eric Holcomb"	"Republican"	"9-Jan-17"	"2025"	"GovHolcomb"	""	"4919082864"	""
14	"Iowa"	"Kim Reynolds"	"Republican"	"24-May-17"	"2023"	"IAGovernor"	"KimReynoldsIA"	"851808935397011456"	"31591773"
15	"Kansas"	"Laura Kelly"	"Democratic"	"14-Jan-19"	"2023"	"GovLauraKelly"	"LauraKellyKS"	"1040058893907513344"	"364864453"
16	"Kentucky"	"Andy Beshear"	"Democratic"	"10-Dec-19"	"2023"	"GovAndyBeshear"	"AndyBeshearKY"	"1192549822865297409"	"2991360032"
17	"Louisiana"	"John Bel Edwards"	"Democratic"	"11-Jan-16"	"2024"	"LouisianaGov"	"JohnBelEdwards"	"166374616"	"1217037967"
18	"Maine"	"Janet Mills"	"Democratic"	"2-Jan-19"	"2023"	"GovJanetMills"	""	"1083795319027089408"	""
19	"Maryland"	"Larry Hogan"	"Republican"	"21-Jan-15"	"2023"	"GovLarryHogan"	"LarryHogan"	"2987671552"	"280121510"
20	"Massachusetts"	"Charlie Baker"	"Republican"	"8-Jan-15"	"2023"	"MassGovernor"	"CharlieBakerMA"	"18023868"	"54990588"
21	"Michigan"	"Gretchen Whitmer"	"Democratic"	"1-Jan-19"	"2023"	"GovWhitmer"	"gretchenwhitmer"	"102071743"	"1093619068148559872"
22	"Minnesota"	"Tim Walz"	"DemocraticFarmerLabor"	"7-Jan-19"	"2023"	"GovTimWalz"	"Tim_Walz"	"1064603540956565504"	"85726335"
23	"Mississippi"	"Tate Reeves"	"Republican"	"14-Jan-20"	"2024"	"tatereeves"	""	"259341329"	""
24	"Missouri"	"Mike Parson"	"Republican"	"1-Jun-18"	"2025"	"GovParsonMO"	"mikeparson"	"1003672320781807616"	"74522684"
25	"Montana"	"Steve Bullock"	"Democratic"	"January 7th, 2013"	"2021"	"GovernorBullock"	"stevebullockmt"	"111721601"	"1235630338875052034"
26	"Nebraska"	"Pete Ricketts"	"Republican"	"8-Jan-15"	"2023"	"GovRicketts"	""	"2891165960"	""
27	"Nevada"	"Steve Sisolak"	"Democratic"	"7-Jan-19"	"2023"	"GovSisolak"	"SteveSisolak"	"1080586433088258048"	"3124524385"
28	"New Hampshire"	"Chris Sununu"	"Republican"	"5-Jan-17"	"2023"	"GovChrisSununu"	"ChrisSununu"	"816282120767291392"	"95943434"
29	"New Jersey"	"Phil Murphy"	"Democratic"	"16-Jan-18"	"2022"	"GovMurphy"	""	"948946378939609089"	""
30	"New Mexico"	"Michelle Lujan Grisham"	"Democratic"	"1-Jan-19"	"2023"	"GovMLG"	"RepLujanGrisham"	"1070083706822438912"	"1061385474"
31	"New York"	"Andrew Cuomo"	"Democratic"	"1-Jan-11"	"2022[1]"	"NYGovCuomo"	"andrewcuomo"	"232268199"	"2513761008"
32	"North Carolina"	"Roy Cooper"	"Democratic"	"1-Jan-17"	"2025"	"NC_Governor"	"RoyCooperNC"	"813792250497028102"	"1712960918"
33	"North Dakota"	"Doug Burgum"	"Republican"	"15-Dec-16"	"2024"	"DougBurgum"	""	"518700708"	""
34	"Ohio"	"Mike DeWine"	"Republican"	"14-Jan-19"	"2023"	"GovMikeDeWine"	"MikeDeWine"	"18820392"	"30887511"
35	"Oklahoma"	"Kevin Stitt"	"Republican"	"14-Jan-19"	"2023"	"GovStitt"	""	"865210877678686208"	""
36	"Oregon"	"Kate Brown"	"Democratic"	"18-Feb-15"	"2023"	"OregonGovBrown"	""	"3023272478"	""
37	"Pennsylvania"	"Tom Wolf"	"Democratic"	"20-Jan-15"	"2023"	"GovernorTomWolf"	"TomWolfPA"	"2978837542"	"1321432124"
38	"Rhode Island"	"Gina Raimondo"	"Democratic"	"January 6th, 2015"	"2021"	"GovRaimondo"	"GinaRaimondo"	"240778059"	"113795716"
39	"South Carolina"	"Henry McMaster"	"Republican"	"24-Jan-17"	"2023"	"henrymcmaster"	""	"16335288"	""
40	"South Dakota"	"Kristi Noem"	"Republican"	"5-Jan-19"	"2023"	"govkristinoem"	"KristiNoem"	"235251868"	"114388293"
41	"Tennessee"	"Bill Lee"	"Republican"	"19-Jan-19"	"2023"	"GovBillLee"	"BillLeeTN"	"1084924525232513025"	"823248562851037185"
42	"Texas"	"Greg Abbott"	"Republican"	"20-Jan-15"	"2023"	"GovAbbott"	"GregAbbott_TX"	"19291441"	"90651198"
43	"Utah"	"Gary Herbert"	"Republican"	"August 11th, 2009"	"2021"	"GovHerbert"	""	"60688326"	""
44	"Vermont"	"Phil Scott"	"Republican"	"5-Jan-17"	"2023"	"GovPhilScott"	""	"545107258"	""
45	"Virginia"	"Ralph Northam"	"Democratic"	"13-Jan-18"	"2022"	"GovernorVA"	"RalphNortham"	"104198706"	"331036671"
46	"Washington"	"Jay Inslee"	"Democratic"	"16-Jan-13"	"2025"	"GovInslee"	"JayInslee"	"1077214808"	"21789463"
47	"West Virginia"	"Jim Justice"	"Republican"	"16-Jan-17"	"2025"	"WVGovernor"	"JimJusticeWV"	"607332953"	"3167789983"
48	"Wisconsin"	"Tony Evers"	"Democratic"	"7-Jan-19"	"2023"	"GovEvers"	""	"234896532"	""
49	"Wyoming"	"Mark Gordon"	"Republican"	"7-Jan-19"	"2023"	"GovernorGordon"	""	"1081334766924754944"	""
